RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
д;minsk;minsk;bus;7 АП;15950,;0;;A>B;A;Малышок (Уручье-2);12345;101068;;14386,14384,14382,14648,14646,14644,14642,14376,14373,14371,14370,14368,69144;;d1-d5 - 02.09.2013
;;;;;;;;B>A;A;Малышок уручье-2;12345;101069;;69144,14367,14370,14371,14374,14375,14377,14641,14643,14645,14647,14381,14383,14385,14386;;
;;;;;;;0.47;B1>D;A;малышок рогачевская;12345;101067;;69144,14384,14382,14648,14646,14645,14642,14376,14373,14371,14370,14368;;
;;;;;;;0.47;D>B1;A;малышок уручье-2;12345;101070;;14367,14370,14371,14374,14375,14377,14641,14643,14645,14647,14381,14383,14385,69144;;
м;;;;5 АП;15992,;;;A>B;A;Каменная Горка-5- ДС Одоевского;1;106719;;187016,187017,133387,133389,187018,147047,147006,72403,72616,14615,14682,14703,14704,14714,15130,15588,15563,14850;;d1 - 14.10.2013<br>d2-d5 - 15.10.2013
;;;;;15993,;;;A>B;A;Каменная Горка-5 - ДС Одоевского;2345;106901;;187016,187017,133387,133389,187018,147047,147006,72403,72616,14615,14682,14703,14704,14714,15130,15588,15563,14850;;
;;;;;15992,;;0;A1>B;A;Каменная горка -5 - ДС Одоевского (без подбора);1;106720;;73866,14850;;
;;;;;;;;B>A;A;Малыш 2 Одоевского-Каменная горка-5;1;106717;;14850,15562,15587,15166,14817,14818,14819,14593,14597,72406,151194,147007,199081,133381,133382,133386,133385,73866;;
;;;;;15993,;;;B>A;A;Малыш 2 (Одоевског- Каменная горка-5);2345;106899;;14850,15562,15587,15166,14817,14818,14819,14593,14597,72406,151194,147007,199081,133381,133382,133386,133385,73866;;
я;;;;;15775,;;;A>B;A;Малыш (Каменная горка-5);12345;90293;;73864,73865,73866,133344,72615,72616,14615,14852,15195,14819,14684,14850;;d1 - 11.03.2013<br>d2-d5 - 15.10.2013
;;;;;;;;B>A;A;Я.Мавра-Каменная Горка-5;12345;90292;;14850,15195,14819,14684,14593,14597,73864,73865,73866,133344,72615,72616;;
1;;;;;15992,;;;A>B;A;дс Веснянка - Вокзал;1234567;106604;;15846,54756,54757,15850,15852,15854,15856,15084,15112,15113,15890,15114,15115,16239,15866,15899;;d1-d5 - 14.10.2013<br>d6-d7 - 19.10.2013
;;;;;;;;B>A;A;Вокзал - дс Веснянка;1234567;106607;;15899,15944,15870,15868,16238,15009,15010,15526,15039,15040,15041,15855,15853,15851,15849,54761,15847,68808,15846;;
2с;;;;6 АП;15976,;;;A>B;A;д/с Лошица - ст.м. Тракторный завод;1234567;104202;;68811,15463,15464,15490,15491,15492,15493,15547,15549,14727,14729,14730,14731,14732,14733,15812,15813;;d1-d5 - 07.10.2013<br>d6-d7 - 28.09.2013
;;;;;;;;B>A;A;ст.м. Тракторный завод - д/с Лошица;1234567;104203;;15813,15814,15811,14781,14782,14795,14796,14802,14804,15447,15450,15454,15455,15456,15465,15466,15467,68810,68811;;
